name\Field	electricity	solar	heat	efficiency	civ_power	input_resources	input_rates	output_resources	output_rates	mass_flow	fuel_rate	target_products
INDUST_METALS_REFINING	-0.65		0.117	0.82	0	INDUST_METAL_ORES;CARBON;OXYGEN	0.890;0.060;0.050	INDUST_METALS;IRON;SULFUR;CARBON_MONOXIDE;INDUST_WASTE	0.242;0.133;0.089;0.142;0.394	1		INDUST_METALS;IRON;SULFUR
PRECIOUS_METALS_REFINING	-0.5		0.0750	0.85	0	PRECIOUS_METAL_ORES	1	PRECIOUS_METALS;INDUST_WASTE	8.70e-4;0.999	1		PRECIOUS_METALS
RARE_EARTHS_REFINING	-1.50		0.300	0.80	0	RARE_EARTH_ORES;INDUST_CHEMICALS	0.970;0.030	RARE_EARTHS;THORIUM;INDUST_WASTE	0.413;0.004;0.583	1		RARE_EARTHS;THORIUM
URANIUM_REFINING	-0.05		0.00750	0.85	0	URANIUM_ORES;INDUST_CHEMICALS	0.971;0.029	URANIUM;INDUST_METALS;THORIUM;INDUST_WASTE	0.086;0.006;0.002;0.906	1		URANIUM;INDUST_METALS;THORIUM
REGOLITH_PROCESSING	-5.00		1.50	0.70	0	REGOLITH	1	OXYGEN;IRON;ALUMINIUM;INDUST_WASTE	0.440;0.110;0.070;0.380	1		OXYGEN;IRON;ALUMINIUM
DEUTERIUM_PURIFICATION	-100		20.0	0.80	0	WATER	1	DEUTERIUM;OXYGEN	0.2;0.8	1		DEUTERIUM
MUNICIPAL_RECYC_INCINERATION	0.24		0.0800	0.75	0.320	MUNICIPAL_WASTE;OXYGEN	0.478;0.522	STEEL;ALUMINIUM;POLYMERS;CARBON_DIOXIDE;WATER;INDUST_WASTE	0.031;0.012;0.029;0.613;0.172;0.143	1		STEEL;ALUMINIUM;POLYMERS
INDUST_RECYC_INCINERATION	-0.30		0.0600	0.80	0	INDUST_WASTE;OXYGEN	0.990;0.010	STEEL;INDUST_METALS;REGOLITH;CARBON_DIOXIDE	0.178;0.020;0.782;0.020	1		STEEL;INDUST_METALS
URANIUM_FUEL_REPROCESSING	-0.12		0.0180	0.85	0	SPENT_URANIUM_FUEL;INDUST_CHEMICALS;INDUST_MINERALS	0.415;0.136;0.449	URANIUM;RADIOACTIVE_WASTE;WATER	0.404;0.551;0.045	1		URANIUM
THORIUM_FUEL_REPROCESSING	-0.10		0.0150	0.85	0	SPENT_THORIUM_FUEL;INDUST_CHEMICALS;INDUST_MINERALS	0.654;0.008;0.338	THORIUM;URANIUM;RADIOACTIVE_WASTE;WATER	0.487;0.021;0.486;0.006	1		THORIUM;URANIUM
WATER_ELECTROLYSIS	-5.50		1.10	0.80	0	WATER	1	HYDROGEN;OXYGEN	0.112;0.888	1		HYDROGEN;OXYGEN
CO2_ELECTROLYSIS	-2.38		0.595	0.75	0	CARBON_DIOXIDE	1	CARBON_MONOXIDE;OXYGEN	0.636;0.364	1		CARBON_MONOXIDE;OXYGEN
METHANE_PYROLYSIS	-3.00		0.900	0.70	0	METHANE	1	CARBON;HYDROGEN	0.749;0.251	1		CARBON;HYDROGEN
COAL_GASIFICATION	-0.08		0.0120	0.85	0	COAL;OXYGEN;WATER	0.557;0.364;0.079	CARBON_MONOXIDE;HYDROGEN;CARBON_DIOXIDE;SULFUR;INDUST_WASTE	0.780;0.039;0.123;0.008;0.050	1		CARBON_MONOXIDE;HYDROGEN;SULFUR
BIOMASS_GASIFICATION	-0.06		0.0120	0.80	0	BIOFEEDSTOCK;OXYGEN;WATER	0.805;0.155;0.040	CARBON_MONOXIDE;HYDROGEN;CARBON_DIOXIDE;INDUST_WASTE	0.838;0.053;0.069;0.040	1		CARBON_MONOXIDE;HYDROGEN
COAL_CARBONIZATION	-1.50		0.375	0.75	0	COAL	1	CARBON;METHANE;HYDROGEN;WATER;AMMONIA;SULFUR;CARBON_MONOXIDE;INDUST_WASTE	0.650;0.055;0.015;0.175;0.003;0.012;0.014;0.076	1		CARBON;METHANE;HYDROGEN;AMMONIA;SULFUR;CARBON_MONOXIDE
BIOMASS_CARBONIZATION	-0.42		0.126	0.70	0	BIOFEEDSTOCK	1	CARBON;METHANE;HYDROGEN;CARBON_MONOXIDE;CARBON_DIOXIDE;WATER;INDUST_WASTE	0.347;0.065;0.015;0.080;0.210;0.233;0.050	1		CARBON;METHANE;HYDROGEN;CARBON_MONOXIDE
CO2_METHANATION	-0.09		0.0135	0.85	0	CARBON_DIOXIDE;HYDROGEN	0.845;0.155	METHANE;WATER	0.308;0.692	1		METHANE
STEAM_METHANE_REFORMING	-2.25		0.563	0.75	0	METHANE;WATER	0.471;0.529	CARBON_MONOXIDE;HYDROGEN	0.822;0.178	1		CARBON_MONOXIDE;HYDROGEN
WATER_GAS_SHIFT	-0.05		0.00750	0.85	0	CARBON_MONOXIDE;WATER	0.609;0.391	CARBON_DIOXIDE;HYDROGEN	0.956;0.044	1		HYDROGEN
REVERSE_WATER_GAS_SHIFT	-0.33		0.0825	0.75	0	CARBON_DIOXIDE;HYDROGEN	0.956;0.044	CARBON_MONOXIDE;WATER	0.609;0.391	1		CARBON_MONOXIDE
LIQ_HYDROCARBONS_SYNTH	-0.10		0.0200	0.80	0	CARBON_MONOXIDE;HYDROGEN	0.867;0.133	LIQ_HYDROCARBONS;WATER	0.442;0.558	1		LIQ_HYDROCARBONS
CO2_METHANOL_SYNTH	-0.08		0.0160	0.80	0	CARBON_DIOXIDE;HYDROGEN	0.879;0.121	METHANOL;WATER	0.640;0.360	1		METHANOL
CO_METHANOL_SYNTH	-0.06		0.00900	0.85	0	CARBON_MONOXIDE;HYDROGEN	0.874;0.126	METHANOL	1	1		METHANOL
AMMONIA_SYNTH	-1.50		0.300	0.80	0	NITROGEN;HYDROGEN	0.822;0.178	AMMONIA	1	1		AMMONIA
POLYMER_SYNTH	-2.00		0.500	0.75	0	LIQ_HYDROCARBONS;INDUST_CHEMICALS;OXYGEN	0.820;0.120;0.060	POLYMERS;METHANE;HYDROGEN;CARBON_DIOXIDE;WATER;INDUST_WASTE	0.550;0.160;0.030;0.100;0.080;0.080	1		POLYMERS;METHANE;HYDROGEN
INDUST_CHEMICALS_SYNTH	-0.55		0.110	0.80	0	INDUST_MINERALS;SULFUR;AMMONIA;METHANOL;OXYGEN	0.450;0.080;0.020;0.150;0.300	INDUST_CHEMICALS;WATER;INDUST_WASTE	0.550;0.200;0.250	1		INDUST_CHEMICALS
FINE_CHEMICALS_SYNTH	-1.50		0.375	0.75	0	INDUST_CHEMICALS;METHANOL;INDUST_METALS;INDUST_MINERALS;OXYGEN	0.400;0.200;0.100;0.100;0.200	FINE_CHEMICALS;WATER;INDUST_WASTE;CARBON_DIOXIDE	0.500;0.200;0.150;0.150	1		FINE_CHEMICALS
CONCRETE_PRODUCTION	-0.22		0.0550	0.75	0	STONE;INDUST_MINERALS;WATER	0.600;0.250;0.150	CONCRETE;CARBON_DIOXIDE	0.940;0.060	1		CONCRETE
GLASS_CERAMICS_PRODUCTION	-1.75		0.525	0.70	0	INDUST_MINERALS	1	GLASS_CERAMICS;CARBON_DIOXIDE	0.890;0.110	1		GLASS_CERAMICS
SEMICONDUCTOR_PRODUCTION	-20.0		7.00	0.65	0	INDUST_MINERALS;CARBON;FINE_CHEMICALS;INDUST_CHEMICALS;OXYGEN	0.500;0.100;0.050;0.100;0.250	SEMICONDUCTOR_MAT;CARBON_DIOXIDE;INDUST_WASTE;WATER	0.200;0.350;0.350;0.100	1		SEMICONDUCTOR_MAT
COMPOSITE_PRODUCTION	-1.80		0.450	0.75	0	POLYMERS;GLASS_CERAMICS;CARBON;INDUST_CHEMICALS	0.400;0.450;0.100;0.050	COMPOSITES;INDUST_WASTE	0.900;0.100	1		COMPOSITES
SOLID_FUEL_PRODUCTION	-0.29		0.0435	0.85	0	INDUST_CHEMICALS;ALUMINIUM;POLYMERS;FINE_CHEMICALS	0.680;0.180;0.100;0.040	SOLID_FUELS;INDUST_WASTE	0.950;0.050	1		SOLID_FUELS
FERTILIZER_PRODUCTION	-0.82		0.164	0.80	0	AMMONIA;INDUST_MINERALS;SULFUR;INDUST_CHEMICALS;WATER	0.294;0.470;0.059;0.118;0.059	FERTILIZERS;INDUST_WASTE	0.824;0.176	1		FERTILIZERSCONSTRUCTION
SPACE_YARDS_ASSEMBLY	-1.20		0.360	0.70	0	STEEL;ALUMINIUM;COMPOSITES;INDUST_METALS;ELECTRONICS;PRECISION_EQUIPMENT;POLYMERS	0.350;0.200;0.100;0.080;0.080;0.070;0.120	HEAVY_ROCKETS_TRANSPORTS;INDUST_WASTE	0.880;0.120	1		HEAVY_ROCKETS_TRANSPORTS
TRANSPORT_MANUF	-0.80		0.200	0.75	0	STEEL;ALUMINIUM;POLYMERS;ELECTRONICS;GLASS_CERAMICS;INDUST_METALS;COMPOSITES	0.480;0.120;0.120;0.060;0.060;0.060;0.100	TRANSPORT_SYSTEMS;INDUST_WASTE	0.900;0.100	1		TRANSPORT_SYSTEMS
STEEL_STRUCTURES_MANUF	-0.30		0.0600	0.80	0	STEEL;INDUST_METALS;POLYMERS	0.960;0.020;0.020	STEEL_STRUCTURES;INDUST_WASTE	0.950;0.050	1		STEEL_STRUCTURES
ALUMINIUM_STRUCTURES_MANUF	-0.45		0.0900	0.80	0	ALUMINIUM;INDUST_METALS;POLYMERS	0.960;0.020;0.020	ALUMINIUM_STRUCTURES;INDUST_WASTE	0.940;0.060	1		ALUMINIUM_STRUCTURES
COMPOSITE_STRUCTURES_MANUF	-1.00		0.250	0.75	0	COMPOSITES;POLYMERS;TECHNICAL_TEXTILES;ALUMINIUM;INDUST_CHEMICALS	0.550;0.150;0.150;0.100;0.050	COMPOSITE_STRUCTURES;INDUST_WASTE	0.900;0.100	1		COMPOSITE_STRUCTURES
TECHNICAL_TEXTILES_FAB	-0.60		0.120	0.80	0	POLYMERS;CARBON;GLASS_CERAMICS;FINE_CHEMICALS	0.600;0.200;0.150;0.050	TECHNICAL_TEXTILES;INDUST_WASTE	0.920;0.080	1		TECHNICAL_TEXTILES
HEAVY_MACHINERY_MANUF	-0.55		0.110	0.80	0	STEEL;INDUST_METALS;ALUMINIUM;POLYMERS;ELECTRONICS	0.800;0.070;0.030;0.060;0.040	HEAVY_MACHINERY;INDUST_WASTE	0.920;0.080	1		HEAVY_MACHINERY
ELECTRICAL_EQUIPMENT_MANUF	-0.70		0.140	0.80	0	STEEL;INDUST_METALS;ALUMINIUM;POLYMERS;GLASS_CERAMICS;ELECTRONICS	0.400;0.280;0.080;0.100;0.060;0.080	ELECTRICAL_EQUIPMENT;INDUST_WASTE	0.920;0.080	1		ELECTRICAL_EQUIPMENT
PRECISION_EQUIPMENT_MANUF	-1.50		0.375	0.75	0	STEEL;ALUMINIUM;INDUST_METALS;ELECTRONICS;GLASS_CERAMICS;POLYMERS;FINE_CHEMICALS	0.200;0.200;0.150;0.150;0.100;0.100;0.100	PRECISION_EQUIPMENT;INDUST_WASTE	0.880;0.120	1		PRECISION_EQUIPMENT
ELECTRONICS_MANUF	-2.50		0.625	0.75	0	SEMICONDUCTOR_MAT;INDUST_METALS;POLYMERS;GLASS_CERAMICS;PRECIOUS_METALS;FINE_CHEMICALS	0.250;0.200;0.200;0.200;0.010;0.140	ELECTRONICS;INDUST_WASTE	0.900;0.100	1		ELECTRONICS
ROBOTICS_MANUF	-2.00		0.500	0.75	0	STEEL;ALUMINIUM;INDUST_METALS;ELECTRONICS;POLYMERS;PRECISION_EQUIPMENT;COMPOSITES	0.250;0.150;0.120;0.200;0.100;0.080;0.100	ROBOTICS;INDUST_WASTE	0.900;0.100	1		ROBOTICS
TENSOR_PROCESSOR_FAB	-25.0		8.75	0.65	0	SEMICONDUCTOR_MAT;INDUST_METALS;PRECIOUS_METALS;FINE_CHEMICALS;POLYMERS	0.350;0.300;0.030;0.200;0.120	TENSOR_PROCESSORS;INDUST_WASTE	0.850;0.150	1		TENSOR_PROCESSORS
NEUROMORPHIC_PROCESSOR_FAB	-30.0		10.5	0.65	0	SEMICONDUCTOR_MAT;INDUST_METALS;PRECIOUS_METALS;FINE_CHEMICALS;POLYMERS	0.350;0.300;0.030;0.200;0.120	NEUROMORPHIC_PROCESSORS;INDUST_WASTE	0.850;0.150	1		NEUROMORPHIC_PROCESSORS
SOLAR_PANEL_MANUF	-1.80		0.450	0.75	0	SEMICONDUCTOR_MAT;GLASS_CERAMICS;ALUMINIUM;INDUST_METALS;POLYMERS	0.280;0.350;0.120;0.050;0.200	SOLAR_PANELS;INDUST_WASTE	0.920;0.080	1		SOLAR_PANELS
BATTERY_MANUF	-1.20		0.300	0.75	0	INDUST_METALS;CARBON;ALUMINIUM;POLYMERS;FINE_CHEMICALS;INDUST_CHEMICALS	0.250;0.250;0.120;0.100;0.150;0.130	BATTERIES;INDUST_WASTE	0.920;0.080	1		BATTERIES
LEU_FUEL_MANUF	-3.00		0.750	0.75	0	URANIUM;INDUST_METALS;INDUST_MINERALS	0.800;0.180;0.020	LE_URANIUM_FUEL;URANIUM;INDUST_WASTE	0.500;0.450;0.050	1		LE_URANIUM_FUEL
HEU_FUEL_MANUF	-8.00		2.80	0.65	0	URANIUM;INDUST_METALS;INDUST_MINERALS	0.300;0.680;0.020	HE_URANIUM_FUEL;URANIUM;INDUST_WASTE	0.250;0.700;0.050	1		HE_URANIUM_FUEL
THORIUM_FUEL_MANUF	-2.50		0.625	0.75	0	THORIUM;URANIUM;INDUST_METALS;INDUST_MINERALS	0.700;0.030;0.250;0.020	THORIUM_FUEL;INDUST_WASTE	0.950;0.050	1		THORIUM_FUEL
CONSUMER_GOODS_MANUF	-0.40		0.0800	0.80	0	POLYMERS;STEEL;LUMBER_WOOD_PROD;GLASS_CERAMICS;BIOFIBERS;INDUST_CHEMICALS	0.300;0.150;0.250;0.100;0.100;0.100	CONSUMER_GOODS;INDUST_WASTE	0.920;0.080	1		CONSUMER_GOODS
SPECIALTY_GOODS_MANUF	-1.00		0.200	0.80	0	POLYMERS;INDUST_METALS;ELECTRONICS;GLASS_CERAMICS;PRECIOUS_METALS;ALUMINIUM	0.200;0.150;0.250;0.150;0.020;0.230	SPECIALTY_GOODS;INDUST_WASTE	0.900;0.100	1		SPECIALTY_GOODS
OPEN_AGRICULTURE	-0.02	2.50	0.0504	0.98	2.50	FERTILIZERS;WATER;CARBON_DIOXIDE	0.015;0.650;0.335	CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK;BIOFIBERS;OXYGEN;BIOWASTE	0.300;0.150;0.100;0.020;0.280;0.150	1		CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK;BIOFIBERS
OPEN_AQUACULTURE	-0.03	1.00	0.0206	0.98	1.00	FERTILIZERS;WATER;CARBON_DIOXIDE	0.010;0.700;0.290	ANIMAL_PROD;ALGAL_MICROBIAL_PROD;BIOFEEDSTOCK;OXYGEN;BIOWASTE	0.200;0.050;0.050;0.250;0.450	1		ANIMAL_PROD;ALGAL_MICROBIAL_PROD;BIOFEEDSTOCK
COMMERCIAL_FISHING												
OPEN_FORESTRY												
ARTISANAL_FARMING	-0.05	0.50	0.0110	0.98	0.50	CROP_PROD;ANIMAL_PROD;WATER;INDUST_CHEMICALS	0.400;0.200;0.350;0.050	ARTISANAL_FOODS;BIOWASTE;WATER	0.500;0.150;0.350	1		ARTISANAL_FOODS
ARTISANAL_CRAFTING	-0.10		0.0200	0.80	0	LUMBER_WOOD_PROD;BIOFIBERS;POLYMERS;GLASS_CERAMICS;INDUST_METALS	0.350;0.250;0.150;0.150;0.100	ARTISANAL_GOODS;INDUST_WASTE	0.900;0.100	1		ARTISANAL_GOODS
CONTROLLED_ENV_AGRICULTURE	-1.50	3.00	0.900	0.80	3.00	FERTILIZERS;WATER;CARBON_DIOXIDE	0.020;0.600;0.380	CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK;OXYGEN;BIOWASTE	0.280;0.100;0.050;0.320;0.250	1		CROP_PROD;ANIMAL_PROD;BIOFEEDSTOCK
CONTROLLED_ENV_AQUACULTURE	-0.80	0.50	0.260	0.80	0.50	WATER;CARBON_DIOXIDE;FERTILIZERS	0.750;0.220;0.030	ANIMAL_PROD;ALGAL_MICROBIAL_PROD;OXYGEN;BIOWASTE;WATER	0.150;0.030;0.200;0.120;0.500	1		ANIMAL_PROD;ALGAL_MICROBIAL_PROD
ALGAL_CULTIVATION	-0.30	2.00	0.460	0.80	2.00	WATER;CARBON_DIOXIDE;NITROGEN;FERTILIZERS	0.500;0.350;0.030;0.120	ALGAL_MICROBIAL_PROD;OXYGEN;BIOWASTE;WATER	0.300;0.280;0.020;0.400	1		ALGAL_MICROBIAL_PROD
CELLULAR_AGRICULTURE	-3.00		0.600	0.80	0	WATER;CROP_PROD;FINE_CHEMICALS;INDUST_CHEMICALS;OXYGEN	0.600;0.200;0.050;0.050;0.100	ANIMAL_PROD;BIOWASTE;CARBON_DIOXIDE;WATER	0.300;0.100;0.150;0.450	1		ANIMAL_PROD
FOOD_PROCESSING	-0.25		0.0500	0.80	0	CROP_PROD;ANIMAL_PROD;POLYMERS;ALUMINIUM;WATER	0.400;0.250;0.050;0.020;0.280	PACKAGED_MEALS;BIOWASTE;WATER	0.500;0.100;0.400	1		PACKAGED_MEALS
INDUST_FERMENTATION	-0.50		0.100	0.80	0	BIOFEEDSTOCK;WATER;NITROGEN;INDUST_CHEMICALS	0.350;0.500;0.030;0.120	BIOCHEMICALS;CARBON_DIOXIDE;BIOWASTE;WATER	0.250;0.150;0.100;0.500	1		BIOCHEMICALS
ETHANOL_FERMENTATION	-0.20		0.0400	0.80	0	BIOFEEDSTOCK;WATER	0.550;0.450	ETHANOL;CARBON_DIOXIDE;BIOWASTE;WATER	0.260;0.250;0.090;0.400	1		ETHANOL
BIOGAS_PRODUCTION	-0.08		0.0160	0.80	0	BIOWASTE;WATER	0.600;0.400	METHANE;CARBON_DIOXIDE;FERTILIZERS;WATER	0.100;0.150;0.200;0.550	1		METHANE;FERTILIZERS
BIOMASS_LIQUEFACTION	-0.50		0.100	0.80	0	BIOFEEDSTOCK;WATER;HYDROGEN	0.600;0.350;0.050	LIQ_HYDROCARBONS;BIOWASTE;CARBON_DIOXIDE;WATER	0.250;0.100;0.150;0.500	1		LIQ_HYDROCARBONS
PHARMACEUTICALS_SYNTH	-5.00		1.50	0.70	0	BIOCHEMICALS;FINE_CHEMICALS;WATER;GLASS_CERAMICS;POLYMERS	0.200;0.150;0.500;0.050;0.100	PHARMACEUTICALS;BIOWASTE;INDUST_WASTE;WATER	0.300;0.050;0.050;0.600	1		PHARMACEUTICALS
SOIL_CONDITIONING	-0.15		0.0300	0.80	0	REGOLITH;BIOWASTE;WATER;FERTILIZERS;INDUST_MINERALS	0.500;0.200;0.150;0.050;0.100	SOIL_GROWTH_MEDIA;INDUST_WASTE	0.950;0.050	1		SOIL_GROWTH_MEDIA
BIOWASTE_TREATMENT	-0.30		0.0600	0.80	0	BIOWASTE;WATER;OXYGEN	0.400;0.500;0.100	WATER;BIOFEEDSTOCK;FERTILIZERS;CARBON_DIOXIDE;INDUST_WASTE	0.650;0.100;0.050;0.150;0.050	1		WATER;BIOFEEDSTOCK;FERTILIZERS
